,all_preds,all_labels,all_preds_raw
284,1.0,1,0.6043575
285,1.0,1,0.9837066
286,1.0,1,0.7746658
287,0.0,0,0.058551915
288,0.0,0,0.3298473
289,0.0,0,0.123599336
290,1.0,1,0.9245159
291,0.0,1,0.2524015
292,1.0,0,0.655039
293,1.0,1,0.57849103
294,0.0,0,0.20499107
295,1.0,1,0.7695136
296,1.0,1,0.6133744
297,0.0,0,0.22005989
298,0.0,0,0.14039172
299,0.0,0,0.15987071
300,1.0,0,0.5685321
301,1.0,1,0.9867669
302,1.0,0,0.78023386
303,1.0,0,0.6142276
304,1.0,1,0.9582651
305,0.0,0,0.35757312
306,1.0,1,0.59290713
307,1.0,0,0.5619941
308,0.0,1,0.4413521
309,1.0,1,0.5235143
310,0.0,0,0.12318265
311,0.0,0,0.029576177
312,1.0,1,0.83779955
313,1.0,1,0.7372455
314,1.0,0,0.8828846
315,0.0,0,0.23994263
316,1.0,1,0.5036252
317,1.0,1,0.9306488
318,0.0,0,0.37301192
319,0.0,0,0.107024096
320,1.0,1,0.99315506
321,1.0,0,0.50833046
322,1.0,0,0.7030383
323,0.0,0,0.022510186
324,0.0,0,0.18915085
325,1.0,1,0.51529187
326,1.0,0,0.5497036
327,1.0,1,0.76764333
328,0.0,0,0.13156268
329,0.0,0,0.147672
330,1.0,0,0.6070205
331,0.0,0,0.09563971
332,1.0,1,0.8893267
333,1.0,0,0.6177199
334,0.0,0,0.40031222
335,1.0,1,0.72382814
336,1.0,0,0.5857799
337,0.0,1,0.47083756
338,1.0,0,0.57301116
339,1.0,1,0.8038265
340,1.0,0,0.6424485
341,0.0,0,0.26321933
342,0.0,0,0.46085104
343,0.0,0,0.035031866
344,1.0,1,0.54200923
345,1.0,1,0.92172426
346,1.0,0,0.5218377
347,0.0,0,0.057857532
348,1.0,0,0.5231205
349,0.0,0,0.036837637
350,1.0,1,0.7512847
351,1.0,0,0.5807713
352,0.0,0,0.2586966
353,1.0,1,0.6125623
354,0.0,0,0.013800225
355,0.0,0,0.30819124
356,1.0,1,0.6077425
357,1.0,0,0.684605
358,1.0,1,0.8088215
359,0.0,0,0.33756548
360,0.0,0,0.05611171
361,1.0,1,0.7537437
362,0.0,0,0.24362195
363,1.0,1,0.6466982
364,1.0,0,0.5446974
365,0.0,0,0.3419697
366,0.0,1,0.46583378
367,1.0,1,0.9736694
368,0.0,1,0.27410725
369,1.0,1,0.89628613
370,1.0,1,0.79859596
371,1.0,0,0.78544664
372,1.0,1,0.5131172
373,1.0,0,0.6738068
374,0.0,1,0.13647476
375,1.0,0,0.5551791
376,0.0,0,0.45463073
377,1.0,1,0.9839422
378,1.0,0,0.50749546
379,0.0,0,0.029216217
380,1.0,0,0.6508004
381,1.0,0,0.58286715
382,0.0,0,0.036744304
383,1.0,0,0.5353526
384,0.0,0,0.2216863
385,0.0,0,0.498609
386,1.0,0,0.5405122
387,1.0,0,0.75912094
388,1.0,0,0.6311382
389,0.0,0,0.03774042
390,1.0,0,0.7632153
391,0.0,1,0.120680794
392,1.0,0,0.7538971
393,0.0,0,0.055305224
394,1.0,1,0.54903954
395,1.0,0,0.5557072
396,0.0,0,0.13265258
397,0.0,0,0.39485803
398,0.0,1,0.45535886
399,1.0,1,0.95788884
400,1.0,0,0.5221147
401,1.0,1,0.6364636
402,1.0,1,0.83701265
403,0.0,0,0.07264434
404,0.0,0,0.21255179
405,1.0,1,0.70214677
406,0.0,1,0.16005966
407,1.0,1,0.93541956
408,1.0,1,0.63314265
409,0.0,0,0.25554532
410,1.0,1,0.7286894
411,1.0,1,0.6600406
412,0.0,0,0.41844383
413,0.0,0,0.006401525
414,1.0,1,0.8798093
415,0.0,0,0.19384433
416,1.0,0,0.8221554
417,0.0,1,0.090412766
418,1.0,1,0.86067194
419,0.0,0,0.090119146
420,0.0,1,0.4130645
421,0.0,0,0.14303839
422,1.0,0,0.59671867
423,0.0,0,0.4795652
424,1.0,0,0.799108
425,0.0,0,0.35768557
426,1.0,1,0.63465977
